,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
5,-73.9683613516225,40.7725908847499,11H-AM-1010-03,11H,AM,10102018,3,Adult,Cinnamon,White,Cinnamon+White,,,,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9683613516225 40.7725908847499)
13,-73.9768603630674,40.7702795904962,5C-PM-1010-09,05C,PM,10102018,9,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9768603630674 40.7702795904962)
20,-73.9649866016038,40.7764929694457,16I-AM-1008-01,16I,AM,10082018,1,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9649866016038 40.7764929694457)
21,-73.9670628558161,40.7734991420941,12I-AM-1013-01,12I,AM,10132018,1,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,on tree roots,False,False,False,False,False,sitting,False,False,False,False,True,False,False,True,,POINT (-73.9670628558161 40.77349914209411)
30,-73.9662438996681,40.7890381809441,28A-PM-1007-05,28A,PM,10072018,5,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,True,False,False,True,,POINT (-73.9662438996681 40.7890381809441)
58,-73.9745630038492,40.7692602628745,5E-AM-1008-06,05E,AM,10082018,6,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,True,False,False,,POINT (-73.9745630038492 40.7692602628745)
62,-73.968381325559,40.7780143443779,16E-PM-1018-06,16E,PM,10182018,6,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,On a rock,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.968381325559 40.7780143443779)
63,-73.9694240327509,40.7755898126674,13F-AM-1007-02,13F,AM,10072018,2,Adult,Cinnamon,White,Cinnamon+White,,,,,False,False,False,True,True,,False,False,False,False,False,False,True,False,,POINT (-73.96942403275091 40.7755898126674)
74,-73.9610705592868,40.7914829661051,32D-AM-1013-06,32D,AM,10132018,6,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,True,True,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",False,False,False,False,True,True,False,False,,POINT (-73.9610705592868 40.7914829661051)
78,-73.9617088749928,40.7944585082367,35A-PM-1013-06,35A,PM,10132018,6,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9617088749928 40.7944585082367)
82,-73.9541453465817,40.7982162223764,42E-PM-1012-06,42E,PM,10122018,6,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,False,False,False,True,,POINT (-73.9541453465817 40.79821622237641)
83,-73.9683608295976,40.7842927405327,22B-AM-1013-04,22B,AM,10132018,4,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,Under bench,False,False,False,False,True,,False,False,False,False,False,False,False,True,ran from dog-walker,POINT (-73.9683608295976 40.7842927405327)
116,-73.9511118711108,40.7950813345902,40I-AM-1018-01,40I,AM,10182018,1,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,True,begging,False,False,False,False,False,False,False,False,,POINT (-73.9511118711108 40.7950813345902)
121,-73.9651601541795,40.7761841788025,15I-PM-1012-07,15I,PM,10122018,7,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.9651601541795 40.7761841788025)
136,-73.9768652785664,40.7684838168207,3D-PM-1010-03,03D,PM,10102018,3,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.97686527856641 40.7684838168207)
146,-73.9763430829342,40.7686351097159,4D-PM-1008-11,04D,PM,10082018,11,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Above Ground,3,on tree facing downward,False,True,False,False,False,chased #12,True,False,False,True,False,False,False,True,,POINT (-73.9763430829342 40.7686351097159)
